Country id,Province or State id,Province or State,Country ,County id,County,State,Country
UnitedStates,AustralianCapitalTerritory_Australia,AustralianCapitalTerritory,Australia,Autauga_Alabama_UnitedStates,Autauga,Alabama,United States
China,Externalterritories_Australia,Externalterritories,Australia,Baldwin_Alabama_UnitedStates,Baldwin,Alabama,United States
Afghanistan,JervisBayTerritory_Australia,JervisBayTerritory,Australia,Barbour_Alabama_UnitedStates,Barbour,Alabama,United States
Albania,NewSouthWales_Australia,NewSouthWales,Australia,Bibb_Alabama_UnitedStates,Bibb,Alabama,United States
Algeria,NorthernTerritory_Australia,NorthernTerritory,Australia,Blount_Alabama_UnitedStates,Blount,Alabama,United States
Andorra,Queensland_Australia,Queensland,Australia,Bullock_Alabama_UnitedStates,Bullock,Alabama,United States
Angola,SouthAustralia_Australia,SouthAustralia,Australia,Butler_Alabama_UnitedStates,Butler,Alabama,United States
AntiguaandBarbuda,Tasmania_Australia,Tasmania,Australia,Calhoun_Alabama_UnitedStates,Calhoun,Alabama,United States
Argentina,Victoria_Australia,Victoria,Australia,Chambers_Alabama_UnitedStates,Chambers,Alabama,United States
Armenia,WesternAustralia_Australia,WesternAustralia,Australia,Cherokee_Alabama_UnitedStates,Cherokee,Alabama,United States
Australia,Alberta_Canada,Alberta,Canada,Chilton_Alabama_UnitedStates,Chilton,Alabama,United States
Austria,BritishColumbia_Canada,BritishColumbia,Canada,Choctaw_Alabama_UnitedStates,Choctaw,Alabama,United States
Azerbaijan,DiamondPrincess_Canada,DiamondPrincess,Canada,Clarke_Alabama_UnitedStates,Clarke,Alabama,United States
Bahamas,GrandPrincess_Canada,GrandPrincess,Canada,Clay_Alabama_UnitedStates,Clay,Alabama,United States
Bahrain,Manitoba_Canada,Manitoba,Canada,Cleburne_Alabama_UnitedStates,Cleburne,Alabama,United States
Bangladesh,NewBrunswick_Canada,NewBrunswick,Canada,Coffee_Alabama_UnitedStates,Coffee,Alabama,United States
Barbados,NewfoundlandandLabrador_Canada,NewfoundlandandLabrador,Canada,Colbert_Alabama_UnitedStates,Colbert,Alabama,United States
Belarus,NorthwestTerritories_Canada,NorthwestTerritories,Canada,Conecuh_Alabama_UnitedStates,Conecuh,Alabama,United States
Belgium,NovaScotia_Canada,NovaScotia,Canada,Coosa_Alabama_UnitedStates,Coosa,Alabama,United States
